codigo_barras,codigo_interno,nome_produto,categoria,cor,tamanho,quantidade_original,preco_custo,preco_venda
CCAL002-JEA-40.0,CCAL002,CALÇA LEVIS JEANS (FEMININA),CALCA,JEANS,40.0,1,369.99,519.99
CCAL001-JEA-42.0,CCAL001,CALÇA LEVIS JEANS (FEMININA),CALCA,JEANS,42.0,1,369.99,519.99
CCAL003-JEA-44.0,CCAL003,CALÇA LEVIS JEANS (FEMININA),CALCA,JEANS,44.0,1,369.99,519.99
CCAL004-JEA-40.0,CCAL004,CALÇA LEVIS JEANS (MASCULINO),CALCA,JEANS,40.0,1,329.99,479.99
CCAL017-JEA-42.0,CCAL017,CALÇA LEVIS JEANS (MASCULINO),CALCA,JEANS,42.0,1,349.99,499.99
CCAL009-JEA-42.0,CCAL009,CALÇA LEVIS JEANS (MASCULINO),CALCA,JEANS,42.0,1,329.99,479.99
CCAL015-JEA-44.0,CCAL015,CALÇA LEVIS JEANS (MASCULINO),CALCA,JEANS,44.0,1,349.99,499.99
CCAL006-JEA-44.0,CCAL006,CALÇA LEVIS JEANS (MASCULINO),CALCA,JEANS,44.0,1,299.99,449.99
CCAL012-JEA-46.0,CCAL012,CALÇA LEVIS JEANS (MASCULINO),CALCA,JEANS,46.0,1,439.99,589.99
CCAL016-JEA-46.0,CCAL016,CALÇA LEVIS JEANS (MASCULINO),CALCA,JEANS,46.0,1,349.99,499.99
CCAL007-JEA-46.0,CCAL007,CALÇA LEVIS JEANS (MASCULINO),CALCA,JEANS,46.0,2,329.99,479.99
CCAL008-JEA-48.0,CCAL008,CALÇA LEVIS JEANS (MASCULINO),CALCA,JEANS,48.0,2,329.99,479.99
CCAL011-JEA-48.0,CCAL011,CALÇA LEVIS JEANS (MASCULINO),CALCA,JEANS,48.0,1,439.99,589.99
CCAL014-JEA-48.0,CCAL014,CALÇA LEVIS JEANS (MASCULINO),CALCA,JEANS,48.0,2,349.99,499.99
CCAL013-JEA-50.0,CCAL013,CALÇA LEVIS JEANS (MASCULINO),CALCA,JEANS,50.0,2,349.99,499.99
CCAL010-JEA-50.0,CCAL010,CALÇA LEVIS JEANS (MASCULINO),CALCA,JEANS,50.0,1,439.99,589.99
CCAL005-JEA-50.0,CCAL005,CALÇA LEVIS JEANS (MASCULINO),CALCA,JEANS,50.0,1,299.99,449.99
