codigo_barras,produto_nome,variante_cor,variante_tamanho,quantidade_atual,preco_venda,preco_custo
BODY001-CIN-G,BODY TEXAS FARM POLIAMIDA (FEMININO),CINZA CHUMBO,G,1,155.00,70.20
BODY002-ROS-M,BODY TEXAS FARM POLIAMIDA (FEMININO),ROSA PINK,M,1,155.00,70.20
BOL001-PEL,BOLSA FAZENDA DECOR BUZIOS (FEMINIA),PELO,,2,799.00,429.00
BOL004-PEL,BOLSA FAZENDA DECOR CAMBURIU (FEMININA),PELO,,2,899.00,499.00
BOL002-PEL,BOLSA FAZENDA DECOR CULTCH LUA (FEMININA),PELO,,3,599.00,299.00
BOL11-PEL,BOLSA FAZENDA DECOR NECESSAIRE (FEMININA),PELO,,2,330.00,150.00
BOL005-PEL,BOLSA FAZENDA DECOR TABACOF (FEMININA),PELO,,2,599.00,369.00
BOL010-PRE,BOLSA GOYAZES BOLSA FRANJA (FEMININA),PRETA,,1,976.00,488.25
BOL007-COU,BOLSA GOYAZES BRANCA E ROSA (FEMININA),COURO,,1,1146.00,521.00
BOL009-COU,BOLSA GOYAZES FERRADURA (FEMININA),COURO,,1,1160.00,860.00
BOL008-COU,BOLSA GOYAZES LATERAL MARROM (FEMININA),COURO,,1,1112.00,510.00
BN033-CAM,BONE ACADEMY BONE TRADICIONAL TELA (MASCULINO),CAMUFLADO,,1,250.00,60.00
BN032-VER,BONE ARIAT BONE TRADICIONAL (MASCULINO),VERMELHO,,1,250.00,60.00
BN014-CIN,BONE ARIAT BONE TRADICIONAL TELA (MASCULINO),CINZA/PRETO,,1,347.60,158.00
BN017-MAR,BONE ARIAT BONE TRADICIONAL TELA (MASCULINO),MARROM,,1,347.60,158.00
BN013-VER,BONE ARIAT BONE TRADICIONAL TELA ABA RETA (MASCULINO),VERDE MUSGO,,1,347.60,158.00
BN039-BRA,BONE BASS PRO SHOPPS BONE TRADICIONAL TELA (FEMININO),BRANCO / ROSA,,1,180.00,60.00
BN040-ROS,BONE BASS PRO SHOPPS BONE TRADICIONAL TELA (FEMININO),ROSA,,1,180.00,60.00
BN041-ROX,BONE BASS PRO SHOPPS BONE TRADICIONAL TELA (FEMININO),ROXO,,1,180.00,60.00
BN036-AZU,BONE BASS PRO SHOPPS BONE TRADICIONAL TELA (MASCULINO),AZUL ESCURO,,1,180.00,60.00
BN038-BRA,BONE BASS PRO SHOPPS BONE TRADICIONAL TELA (MASCULINO),BRANCO / AMARELO,,1,180.00,60.00
BN031-LAR,BONE CABELAS BONE TRADICIONAL TELA (MASCULINO),LARANJA,,1,250.00,60.00
BN035-PRE,BONE CAVENDERS BONE TRADICIONAL TELA (MASCULINO),PRETO / BRANCO,,2,250.00,60.00
BN012-MAR,BONE CINCH BONE TRADICIONAL TELA FECHADO (MASCULINO),MARROM/CINZA,,1,356.40,162.00
BN011-CIN,BONE CINCH BONE TRADICIONAL TELA IMPORTADO (MASCULINO),CINZA,,1,356.40,162.00
BN034-VER,BONE MAGELLAN BONE TRADICIONAL TELA (MASCULINO),VERDE / PRETO,,1,250.00,60.00
BN028-AZU,BONE RICHARDSON BONE TRADICIONAL TELA (MASCULINO),AZUL / BRANCO,,1,250.00,60.00
BN029-AZU,BONE RICHARDSON BONE TRADICIONAL TELA (MASCULINO),AZUL / BRANCO / VERMELHO,,3,250.00,60.00
BN010-JEA,BONE TEXAS FARM BONE JUVENIL TELA (MASCULINO),JEANS,,1,131.78,59.90
BN008-CIN,BONE TEXAS FARM BONE TRADICIONAL FECHADO (MASCULINO),CINZA/VERDE FLORECENTE,,1,131.78,59.90
BN022-PRE,BONE TEXAS FARM BONE TRADICIONAL FECHADO (MASCULINO),PRETO,,1,131.86,59.90
BN021-AZU,BONE TOMAHAWK BONE COPA BAIXA (MASCULINO),AZUL/VERMELHO,,1,132.01,60.00
BN020-CAM,BONE TOMAHAWK BONE TRADICIONAL TELA (MASCULINO),CAMUFLADO,,1,132.01,60.00
BN030-MAR,BONE TSC BONE TRADICIONAL TELA (MASCULINO),MARROM,,1,250.00,60.00
BN024-VER,BONE TXC BONE TRADICIONAL TELA (MASCULINO),VERDE,,1,99.90,29.90
BN026-LAR,BONE TXC BONE TRADIONAL TELA (MASCULINO),LARANJA/PRETO,,1,99.90,29.90
BN044-CIN,BONE USA BONE TRADICIONAL TELA (MASCULINO),CINZA,,3,180.00,60.00
BN001-VER,BONE WRANGLER BONE RASO (MASCULINO),VERMELHO/BEGE/AZUL,,1,164.78,74.90
BN042-CIN,BONE WRANGLER BONE TRADICIONAL TELA (MASCULINO),CINZA / VERDE,,2,180.00,60.00
BN043-PRE,BONE WRANGLER BONE TRADICIONAL TELA (MASCULINO),PRETO / AZUL,,1,180.00,60.00
BOT003-MAR-40.0,BOTA CLASSIC BOTA TENIS (MASCULINO),MARROM,40.0,1,615.90,265.91
BOT004-MAR-40.0,BOTA CLASSIC BOTA TENIS (MASCULINO),MARROM,40.0,1,615.90,265.91
BOT005-MAR-41.0,BOTA CLASSIC BOTA TENIS (MASCULINO),MARROM,41.0,1,615.90,265.91
BOT032-MAR-34.0,BOTA GOYAZES BICO FINO CANO CURTO (FEMININA),MARROM,34.0,1,1280.00,582.00
BOT033-MAR-35.0,BOTA GOYAZES BICO FINO CANO CURTO (FEMININA),MARROM,35.0,1,1280.00,582.00
BOT034-MAR-38.0,BOTA GOYAZES BICO FINO CANO CURTO (FEMININA),MARROM,38.0,1,1280.00,582.00
BOT035-PRE-34.0,BOTA GOYAZES BICO FINO CANO CURTO (FEMININA),PRETO,34.0,1,1179.20,536.00
