codigo_interno,codigo_fornecedor,categoria,marca,descricao,genero,preco_custo,preco_venda,qtd_variantes,estoque_total
COL004,4601,COLETE,PWR,JEANS,FEMININO,119.9,263.78,1,1
COL005,4601,COLETE,PWR,JEANS,FEMININO,119.9,263.78,1,1
COL006,4601,COLETE,PWR,JEANS,FEMININO,119.9,263.78,1,1
COL007,4604,COLETE,PWR,JEANS ESTRELAS,FEMININO,139.9,307.78,1,1
COL008,4604,COLETE,PWR,JEANS ESTRELAS,FEMININO,139.9,307.78,1,1
COL009,4604,COLETE,PWR,JEANS ESTRELAS,FEMININO,139.9,307.78,1,1
SHORT012,4905,SHORT,PWR,JEANS,FEMININO,134.9,296.78,1,1
SHORT013,4905,SHORT,PWR,JEANS,FEMININO,134.9,296.78,1,1
JAQ015,4607,JAQUETA,PWR,JEANS,FEMININO,179.9,395.78,2,2
JAQ016,4607,JAQUETA,PWR,JEANS,FEMININO,179.9,395.78,1,1
JAQ017,4604,JAQUETA,PWR,JEANS,FEMININO,179.9,395.78,1,1
ML008,8017,MOLETOM,PWR,GOLA REDONDA,FEMININO,109.9,241.78,1,1
ML009,8017,MOLETOM,PWR,GOLA REDONDA,FEMININO,109.9,241.78,1,1
ML010,8017,MOLETOM,PWR,GOLA REDONDA,FEMININO,109.9,241.78,1,1
ML011,8016,MOLETOM,PWR,GOLA REDONDA,FEMININO,109.9,241.78,1,1
ML012,8018,MOLETOM,PWR,GOLA REDONDA,FEMININO,109.9,241.78,1,1
ML013,8018,MOLETOM,PWR,GOLA REDONDA,FEMININO,109.9,241.78,1,1
ML014,8018,MOLETOM,PWR,GOLA REDONDA,FEMININO,109.9,241.78,1,1
CAL096,4518,CALCA,PWR,JEANS,FEMININO,279.9,615.78,1,1
CAL097,4508,CALCA,PWR,JEANS,FEMININO,169.9,373.78,1,1
BN001,WMC425,BONE,WRANGLER,BONE RASO,MASCULINO,0,0,1,1
BN002,WMC430,BONE,WRANGLER,BONE RASO,MASCULINO,0,0,1,1
BN003,DOUBLE-TF912,BONE,TEXAS FARM,BONE TRADICIONAL TELA,MASCULINO,59.9,131.78,1,1
BN004,RANCH FIRE-TF741,BONE,TEXAS FARM,BONE TRADICIONAL FECHADO,MASCULINO,59.9,131.78,1,1
BN005,TF355-LOTAD-1776,BONE,TEXAS FARM,BONE TRADICIONAL FECHADO,MASCULINO,59.9,131.78,1,1
BN006,TF1056-LOTAD-1787,BONE,TEXAS FARM,BONE TRADICIONAL TELA,MASCULINO,59.9,131.78,1,1
BN007,TF1016-LOTAD 1807,BONE,TEXAS FARM,BONE TRADICIONAL TELA,MASCULINO,59.9,131.78,1,1
BN008,NEW TEXAS-TF690,BONE,TEXAS FARM,BONE TRADICIONAL FECHADO,MASCULINO,59.9,131.78,1,1
BN009,AMERICAN TOUR-TF862,BONE,TEXAS FARM,BONE TRADICIONAL FECHADO,MASCULINO,59.9,131.78,1,1
BN010,MIDDLE FARMING- TF1047/INF,BONE,TEXAS FARM,BONE JUVENIL TELA,MASCULINO,59.9,131.78,1,1
BN011,MCC060064-CI,BONE,CINCH,BONE TRADICIONAL TELA/IMPORTADO,MASCULINO,162.0,356.4,1,1
BN012,MCC0653322,BONE,CINCH,BONE TRADICIONAL TELA FECHADO,MASCULINO,162.0,356.4,1,1
BN013,B-ARIAT,BONE,ARIAT,BONE TRADICIONAL TELA/ABA RETA,MASCULINO,158.0,347.6,1,1
BN014,B-ARIAT,BONE,ARIAT,BONE TRADICIONAL TELA,MASCULINO,158.0,347.6,1,1
BN015,B-ARIAT,BONE,ARIAT,BONE TRADICIONAL TELA,MASCULINO,158.0,347.6,1,1
BN016,B-ARIAT,BONE,ARIAT,BONE TRADICIONAL TELA,MASCULINO,158.0,347.6,1,1
BN017,B-ARIAT,BONE,ARIAT,BONE TRADICIONAL TELA,MASCULINO,158.0,347.6,1,1
BN018,B-ARIAT,BONE,ARIAT,BONE TRADICIONAL TELA,MASCULINO,158.0,347.6,1,1
BN019,BA-CLEQ-FA,BONE,CLASSIC,BONE TRADICIONAL TELA,MASCULINO,42.0,105.01,1,1
BN020,,BONE,TOMAHAWK,BONE TRADICIONAL TELA,MASCULINO,60.0,132.01,1,1
BN021,,BONE,TOMAHAWK,BONE COPA BAIXA,MASCULINO,60.0,132.01,1,1
BN022,AMERICAN TOUR-TF862-LOTAD-1683,BONE,TEXAS FARM,BONE TRADICIONAL FECHADO,MASCULINO,59.9,131.86,1,1
BN023,,BONE,TEXAS FARM,BONE TRADIONAL TELA,MASCULINO,29.9,99.9,1,1
BN024,,BONE,TXC,BONE TRADICIONAL TELA,MASCULINO,29.9,99.9,1,1
BN025,,BONE,TXC,BONE TRADICIONAL TELA,MASCULINO,29.9,99.9,1,1
